SSID;BSSID;Security;Frequency;Capabilities;Sinal Strength;Rel Signal Strength
BIG FESTAS;00:18:e7:bd:46:a6;WPA-PSK;2462;;;40
Anderson;74:ea:3a:e7:8b:ce;WPA-PSK;2452;WPS;;28
DonGuilherme;84:c9:b2:e3:69:a5;WPA-PSK;2462;WPS;;55
wireom1p4;00:15:6d:4a:9b:1e;WEP;2427;;;26
wireom11-p2h;dc:9f:db:00:42:49;WEP;2447;;;33
Olaia_Int;e8:94:f6:cb:b5:5c;WPA-PSK;2452;WPS;;33
familiamacedo;7c:4f:b5:e8:22:41;WPA-PSK;2437;;;31
emilene_;72:11:cf:ce:fe:80;WPA-PSK;2457;WPS;;28
Maquina;30:b5:c2:6d:99:60;WPA-PSK;2437;WPS;;26
top 10 ;ce:d0:4e:17:6f:c1;WPA-PSK;2462;WPS;;26
Zila2;c8:3a:35:59:fd:b0;WPA-PSK;2462;;;24
VIACAO C.OESTE;38:46:08:e5:87:a4;WPA-PSK;2462;;;20
Douglas;c8:3a:35:45:cb:68;WPA-PSK;2437;;;40
ANA;00:1a:3f:18:3c:8d;WPA-PSK;2462;;;35
SERELEPE65;64:66:b3:78:22:10;WPA-PSK;2412;WPS;;26
MIGUEL VIERO;14:cc:20:8e:f3:50;WPA-PSK;2447;;;24
175404;c4:e9:84:3c:bb:54;WPA-PSK;2462;WPS;;24
Brum-visitantes;00:00:00:00:00:22;WPA-PSK;2427;;;22
wirbrum_____;4c:5e:0c:79:03:8d;WPA-PSK;2427;;;20
BOLZAN;c8:91:f9:a2:07:d8;WPA-PSK;2462;WPS;;33
Lama;34:08:04:0c:75:7c;WPA-PSK;2437;WPS;;28
Felipe_Int;64:66:b3:ae:d8:a4;WPA-PSK;2437;WPS;;17
Ap dos Aspiras;0a:20:59:45:68:65;WPA-PSK;2462;WPS;;46
Brum_casa_tplink;64:66:b3:f0:1d:4a;WPA-PSK;2412;;;33
Matos House;30:b5:c2:4c:8f:1e;WPA-PSK;2417;WPS;;42
Jorge_Int;c4:e9:84:47:95:98;WPA-PSK;2422;WPS;;24
Rosane_Int;f4:ec:38:e3:03:48;WPA-PSK;2422;WPS;;35
IaraCastiel;c8:3a:35:32:9f:b8;WPA-PSK;2422;;;28
NetSul-CEN;d4:ca:6d:12:46:f0;WPA-PSK;2452;;;40
HP-Print-9E-LaserJet 1102;f4:b7:e2:b6:37:9e;;2437;;;26
Alessandro;e2:3e:a4:4a:6b:04;WPA-PSK;2462;WPS;;33
AVR;00:15:e9:e0:1c:b9;WEP;2437;;;51
Esc-Tusi;f8:1a:67:91:95:ce;WPA-PSK;2422;WPS;;37
sanwirel;00:0c:42:68:30:ce;;2417;;;53
JLMB;34:08:04:ff:7b:6d;WPA-PSK;2437;;;31
maru_int;90:f6:52:b5:98:ce;WPA-PSK;2437;;;22
Cidade educadora;54:64:d9:c0:25:28;WPA-PSK;2462;WPS;;26
CHEQUIN;18:17:25:09:d4:d8;WPA-PSK;2462;;;20
sanwires;00:0c:42:69:63:18;;2427;;;26
Clovis;e2:5a:be:9a:7e:76;WPA-PSK;2432;WPS;;28
JLMB;f4:f2:6d:a0:08:75;WPA-PSK;2437;WPS;;26
Dalva;c8:3a:35:3b:df:a8;WPA-PSK;2442;;;24
HP86497E;02:25:c5:27:4a:25;;2457;;;24
3E GESTAO DE PESSOAS;b2:3f:3c:09:ad:13;WPA-PSK;2462;WPS;;20
3e;00:19:5b:d6:82:38;WPA-PSK;2417;;;40
wireom2-p4h;00:0c:42:6a:3e:88;WEP;2422;;;31
Eduardo;54:b8:0a:f3:df:eb;WPA-PSK;2442;WPS;;26
wireom2-p1;00:02:6f:52:96:67;WEP;2427;;;26
Pedro;b2:95:d4:d8:96:17;WPA-PSK;2412;WPS;;40
Davi_Int;c0:4a:00:7d:b8:7e;WPA-PSK;2437;WPS;;20
Alquimia-Int;78:44:76:59:77:33;WPA-PSK;2462;;;22
cecy1;ce:f9:bd:00:80:2b;WPA-PSK;2462;WPS;;20
Wordcell_Wifi;10:fe:ed:64:50:c2;WPA-PSK;2437;WPS;;35
Leonardo_Int;30:b5:c2:bb:63:ee;WPA-PSK;2422;WPS;;31
Idoc_Clinica_Recepcao;64:66:b3:d6:25:94;WPA-PSK;2437;WPS;;28
AUTOMASSUL;90:f6:52:68:7b:52;WPA-PSK;2462;WPS;;22
Celir;c0:4a:00:87:97:62;WPA-PSK;2412;WPS;;28
Henrique;00:1a:3f:a9:1a:52;WPA-PSK;2412;;;22
Thais_Linda;c4:6e:1f:68:de:5e;WPA-PSK;2417;WPS;;17
nestor;02:bd:b9:e2:c0:b7;WPA-PSK;2462;;;33
Idoc_Clinica;64:70:02:99:f2:2a;WPA-PSK;2437;;;22
juliano_int;00:1a:ef:12:cd:1e;WPA-PSK;2457;WPS;;24
Noara;30:b5:c2:6d:33:40;WPA-PSK;2437;WPS;;24
Elinara2_Int;d8:5d:4c:f3:0a:4c;WPA-PSK;2422;WPS;;22
Vivo Internet;50:9f:27:cf:70:a8;WPA-PSK;2462;WPS;;22
ubnt;68:72:51:04:7e:4d;WPA-PSK;2412;;;20
Janete;82:1a:cc:2c:b3:ac;WPA-PSK;2412;WPS;;26
JANETH_INT;cc:b2:55:1e:71:fc;WPA-PSK;2437;WPS;;28
1649_Bradesco;4a:d9:e7:0b:15:6d;WPA-PSK;2462;;;20
VARGAS;90:f6:52:d3:81:7e;WPA-PSK;2462;WPS;;26
Telvio;64:66:b3:a0:fe:92;WPA-PSK;2462;WPS;;33
BOT_AP;3c:ce:73:95:40:80;WPA-EAP;2462;;;24
oticAndrade;64:66:b3:71:cf:32;WPA-PSK;2462;WPS;;31
AP_DEPONTI;74:ea:3a:f4:02:88;WPA-PSK;2412;;;26
Neuza_int;90:f6:52:b5:a8:4e;WPA-PSK;2417;WPS;;26
Multilaser_14FC88;c8:3a:35:14:fc:88;WPA-PSK;2437;;;26
Rodrigo_Int;14:cc:20:50:ee:c3;WPA-PSK;2422;WPS;;33
santiago1_EXT;14:cc:20:46:44:44;WPA-PSK;2437;WPS;;28
Renata_Int;64:70:02:82:ad:98;WPA-PSK;2422;WPS;;26
lurosaprata;0a:11:8f:e3:bc:73;WPA-PSK;2412;WPS;;28
Alex Ramos;00:1a:3f:74:6a:fc;WPA-PSK;2462;;;28
For_men;c4:e9:84:b2:54:30;WPA-PSK;2432;WPS;;33
Marcio;f8:1a:67:f7:7f:ee;WPA-PSK;2422;WPS;;26
Bucco;c8:3a:35:3b:2f:00;WPA-PSK;2437;;;22
OMAR - Venancio Aires, 1043 Ap 2;74:ea:3a:f6:dd:29;WEP;2412;;;33
LOTERIA;d8:5d:4c:f4:02:c8;WPA-PSK;2472;;;31
Rodrigo_Int;64:70:02:66:1d:1c;WPA-PSK;2422;WPS;;28
advcres;00:17:3f:e5:a0:8f;WPA-PSK;2412;;;28
farma;14:cc:20:3a:d0:d6;WPA-PSK;2457;WPS;;20
Clandio_Int02;00:1a:3f:a4:90:52;WPA-PSK;2462;WPS;;33
Ana_Int;f8:d1:11:20:c4:be;WPA-PSK;2432;;;24
nderme_int;00:4f:62:1f:e8:0c;WEP;2462;;;28
VARGAS2;00:e0:20:32:10:a4;WPA-PSK;2462;WPS;;28
Otica Bella;c4:e9:84:e1:ba:f4;WPA-PSK;2412;WPS;;26
lucas;ce:23:3a:bd:2c:4b;WPA-PSK;2462;WPS;;26
Mari_Diogo;c8:3a:35:09:83:b8;WPA-PSK;2412;;;28
So Pagando;e8:de:27:df:78:d0;WPA-PSK;2462;WPS;;17
RestMario_Int;30:b5:c2:ce:5a:24;WPA-PSK;2422;WPS;;26
MM_Int;c8:3a:35:08:d1:98;WPA-PSK;2422;;;24
Luciano;1c:7e:e5:89:8e:b2;WPA-PSK;2412;WPS;;20
CLUBEUNIAO*;82:9d:98:b9:f2:1b;WPA-PSK;2452;WPS;;20
WiFi_Alexandre;c4:6e:1f:e5:01:a4;WPA-PSK;2437;;;22
Sandra_Int;c4:6e:1f:94:51:b2;WPA-PSK;2412;WPS;;26
wifiannai;00:e0:4b:cf:15:66;WPA-PSK;2462;WPS;;22
Tevah_int;c0:4a:00:7d:b5:d4;WPA-PSK;2462;WPS;;26
Oi_Velox_WiFi_896A;00:18:e7:a0:89:6a;WPA-PSK;2412;;;42
virtual_moveis;e8:de:27:7f:43:fa;WPA-PSK;2462;WPS;;28
Malu_Int;00:1a:3f:c6:1a:98;WPA-PSK;2432;WPS;;42
JP;d0:84:b0:a1:32:08;WPA-PSK;2412;WPS;;35
Rose-;00:1a:3f:a9:90:76;WPA-PSK;2412;;;33
Vanessa Nicola;ce:40:08:6d:d6:79;WPA-PSK;2412;WPS;;42
Ella_Shoes;14:cc:20:83:05:cc;WPA-PSK;2427;WPS;;22
marcos_montagner;e8:de:27:7f:49:b8;WPA-PSK;2462;WPS;;35
Giovana_Int;54:e6:fc:b9:80:9c;WPA-PSK;2432;WPS;;40
Laboratorio;f0:7d:68:df:b4:1a;WPA-PSK;2437;;;33
Casagireli_Int;c4:e9:84:42:16:28;WPA-PSK;2427;WPS;;26
Marilaine;c4:e9:84:b8:84:de;WPA-PSK;2452;WPS;;24
Claiton;c4:e9:84:49:3c:18;WPA-PSK;2412;WPS;;26
Brum;54:e6:fc:98:01:06;WPA-PSK;2412;;;48
M3studio;d0:84:b0:96:20:ee;WPA-PSK;2462;WPS;;33
JB_Calcados;30:b5:c2:51:41:34;WPA-PSK;2437;WPS;;28
SOL DE OURO;82:5a:42:e3:cf:1e;WPA-PSK;2412;WPS;;26
Carlos_;c4:6e:1f:df:3f:24;WPA-PSK;2427;WPS;;42
Belochio_Int;f4:f2:6d:21:d6:68;WPA-PSK;2412;WPS;;28
Paulo_Vaz;14:cc:20:b7:7f:02;WPA-PSK;2462;WPS;;24
GAUCHA;74:ea:3a:b8:d0:b2;WPA-PSK;2427;WPS;;31
AP 603;14:cc:20:37:72:01;WPA-PSK;2462;WPS;;22
sanwirep2h;00:0c:42:69:9b:1d;WEP;2427;;;33
Kero presentes;a0:f3:c1:94:a0:ea;WPA-PSK;2412;WPS;;46
GIOVANA;f8:1a:67:e3:17:44;WPA-PSK;2462;WPS;;22
maninha;c8:91:f9:a2:04:47;WPA-PSK;2462;WPS;;17
sanwireo;00:02:6f:51:8e:c0;;2437;;;37
GORSKI;c0:4a:00:54:be:28;WPA-PSK;2412;WPS;;22
Sarah Concept;e8:de:27:63:a6:6a;WPA-PSK;2437;WPS;;28
$ifra Consultoria;94:0c:6d:ed:4a:c0;WPA-PSK;2427;WPS;;22
CESARHOLANDA;00:18:e7:a0:af:58;WEP;2452;WPS;;24
Sarah Gestao ;90:f6:52:a7:38:78;WPA-PSK;2427;WPS;;33
PELLEGRINI;8c:10:d4:c4:68:f9;WPA-PSK;2412;WPS;;22
Carlos;c8:91:f9:a2:2d:92;WPA-PSK;2412;WPS;;20
santiago;78:54:2e:eb:b7:1a;WPA-PSK;2412;WPS;;40
Maconaria_Int;c4:e9:84:b2:1d:8e;WPA-PSK;2427;WPS;;28
NS2-BEL;00:0c:42:6e:1f:49;WPA-PSK;2442;;;35
Dutra;00:24:01:98:88:0c;WPA-PSK;2442;;;24
Andressa;1c:af:05:ba:6f:09;WPA-PSK;2437;;;22
Ilha Bella;00:1a:3f:97:69:24;;2462;WPS;;24
Olga2;00:1a:3f:28:b4:55;WPA-PSK;2462;;;28
Dpil;d0:84:b0:1e:2c:00;WPA-PSK;2462;WPS;;22
ZR_TECNOLOGIA;e8:de:27:ce:d1:90;WPA-PSK;2437;WPS;;31
TRI;c4:6e:1f:f3:f7:94;WPA-PSK;2437;WPS;;22
Alquimia;c4:e9:84:3d:15:3c;WPA-PSK;2412;WPS;;28
Reginato;82:24:0c:c5:65:3f;WPA-PSK;2412;WPS;;37
Farmácia Ilha Bella;e8:de:27:b3:cc:6c;WPA-PSK;2412;WPS;;24
Goelzer;d8:5d:4c:df:11:d2;WPA-PSK;2412;WPS;;35
