SSID;BSSID;Security;Frequency;Capabilities;Sinal Strength;Rel Signal Strength
Marisete;c8:3a:35:37:55:68;WPA-PSK;2437;;;33
Bruna;00:1a:3f:18:7c:2f;WPA-PSK;2417;;;28
DIRECT-YT[TV]lorenzini;de:71:44:54:75:c8;WPA-PSK;2427;WPS;;33
DIRECT-8CA0AF7C;66:eb:8c:a0:2f:7c;WPA-PSK;2412;WPS;;26
Saude Bucal;d0:84:b0:1e:5a:e1;WPA-PSK;2412;WPS;;26
Oi WiFi Fon;5a:84:b0:1e:5a:e2;;2412;;;20
Planeje;10:fe:ed:0e:f7:c6;WPA-PSK;2432;WPS;;20
Hotel Vila Rica - 03;b0:48:7a:c3:fe:52;WPA-PSK;2437;WPS;;24
Hotel Vila Rica - 02;00:1e:58:15:a3:46;WPA-PSK;2432;;;28
Recepcao Hotel Vila Rica;54:e6:fc:ce:3b:82;WPA-PSK;2422;WPS;;24
Oi WiFi Fon;72:10:d4:20:e6:08;;2462;;;44
dedins;8c:10:d4:20:e6:0b;WPA-PSK;2462;WPS;;46
HELIANTUS;5a:6d:59:2e:4f:90;WPA-PSK;2412;WPS;;24
Oi WiFi Fon;58:23:8c:97:a7:dd;;2412;;;33
Hotel Vila Rica - 04;90:f6:52:56:34:b8;WPA-PSK;2437;WPS;;44
Guilgue;82:97:5d:5d:b9:6e;WPA-PSK;2412;WPS;;31
Oi WiFi Fon;80:29:94:2c:d6:5a;;2412;;;20
HP-Print-64-LaserJet 1102;54:35:30:fd:8d:64;;2437;;;28
Hotel Vila Rica - 01;00:1a:3f:57:fb:ca;WPA-PSK;2427;;;26
Menina_Mulher_Int01;e8:94:f6:d8:40:72;WPA-PSK;2437;WPS;;26
XAVANTE;30:b5:c2:3f:0a:20;WPA-PSK;2417;WPS;;35
tatiane;b2:41:e6:55:a8:e6;WPA-PSK;2432;WPS;;26
Wir_Mariabonita;78:54:2e:a8:28:e2;WEP;2457;;;22
Oi WiFi Fon;b0:c2:87:a8:da:64;;2432;;;28
tatiane2;74:ea:3a:fa:dd:32;WPA-PSK;2462;;;28
3Cristofari;00:1a:3f:a0:df:24;WPA-PSK;2462;;;24
Delevatti2;c8:3a:35:03:7c:58;WPA-PSK;2437;;;26
Luciana;64:66:b3:af:83:d2;WPA-PSK;2442;WPS;;31
Alfa Music;54:e6:fc:ea:24:aa;WPA-PSK;2462;;;28
PabloVMG;54:e6:fc:dc:aa:7e;WPA-PSK;2412;WPS;;35
wireom3-p4h;00:0c:42:69:fd:0d;WEP;2412;;;46
Oi WiFi Fon;cc:03:fa:2d:fe:95;;2462;;;26
CarlaAnderson;ce:0e:84:66:04:e6;WPA-PSK;2462;WPS;;20
Interno;90:f6:52:af:b5:c6;WPA-PSK;2422;WPS;;31
2Cristofari;78:44:76:27:a4:04;WEP;2412;;;28
Dinara_Int;f4:ec:38:d2:3a:b4;WPA-PSK;2422;WPS;;28
Dalosto_int;d8:5d:4c:a4:8c:c5;WPA-PSK;2427;;;26
5Cristofari;c4:e9:84:ac:07:6e;WPA-PSK;2422;WPS;;24
Alves e Pavanello;5a:ff:6b:5e:85:82;WPA-PSK;2412;WPS;;33
nadia;f8:d1:11:22:64:36;WPA-PSK;2437;WPS;;28
Oi WiFi Fon;58:23:8c:98:1c:e3;;2412;;;33
Loja15;18:17:25:09:5d:4c;WPA-PSK;2457;;;22
Dinara2_Int;64:70:02:53:89:4c;WPA-PSK;2422;WPS;;17
miguel;28:28:5d:99:7b:ac;WPA-PSK;2457;WPS;;22
NS2-ESC;00:0c:42:6e:12:75;WPA-PSK;2462;;;33
MP_Comunidade;14:cc:20:72:af:24;WPA-PSK;2422;WPS;;26
MARCIA;30:b5:c2:cc:7c:36;WPA-PSK;2412;WPS;;17
Bressan;c4:6e:1f:e6:1b:7e;WPA-PSK;2462;WPS;;17
Espindola_Int;d8:5d:4c:b1:2f:e5;WPA-PSK;2427;;;22
INTELBRAS;00:1a:3f:74:87:34;WPA-PSK;2462;;;37
Emporio_WIFI;64:70:02:53:fe:6a;WPA-PSK;2427;WPS;;20
Dinara3_Int;d8:5d:4c:f3:03:da;WPA-PSK;2422;WPS;;17
Oi WiFi Fon;00:18:e7:a0:05:bb;;2412;;;20
Sandra;00:e0:4b:cf:17:fa;WPA-PSK;2462;WPS;;22
INOVE2;00:18:e7:a0:05:ba;WPA-PSK;2412;;;31
dudacasa;f4:ec:38:e1:1f:d2;WPA-PSK;2452;WPS;;42
SindicatoRural_int;c4:6e:1f:bb:c9:46;WPA-PSK;2442;WPS;;26
Rimar_Moveis;00:1a:3f:97:a1:b4;WPA-PSK;2432;WPS;;24
HP-Print-BA-Officejet Pro 8600;00:9c:02:ce:00:ba;WPA-PSK;2412;;;31
Oi_Velox_WiFi_E213;b4:b3:62:5e:e2:13;WPA-PSK;2412;;;24
ESOTECH ELETRONICA;90:f6:52:dd:7d:0c;WPA-PSK;2412;WPS;;20
Macax;20:aa:4b:77:fb:78;WPA-PSK;2422;WPS;;46
Volmir;78:44:76:72:7e:88;WPA-PSK;2462;WPS;;26
Cocentino_Junior;00:1a:3f:91:7e:36;WPA-PSK;2437;;;26
$$JR08$$;00:11:95:79:ab:22;WPA-PSK;2437;;;24
cn1470;64:66:b3:b8:0a:de;WPA-PSK;2447;WPS;;24
virus;e8:de:27:72:60:64;WPA-PSK;2412;WPS;;31
CoopPrestServ_Int;30:b5:c2:cc:7a:14;WPA-PSK;2422;WPS;;40
DR. GUSTAVO;ac:f1:df:e8:c5:b0;WPA-PSK;2412;WPS;;20
Gaucha;c4:e9:84:d4:c2:2a;WPA-PSK;2462;WPS;;28
Estacao do Cabelo;ec:f0:0e:00:80:81;WPA-PSK;2457;;;20
Oi WiFi Fon;b0:c2:87:f6:08:fb;;2462;;;17
claudio;b2:e2:e7:99:42:40;WPA-PSK;2462;WPS;;22
GUASSO;08:10:74:3f:39:a0;WPA-PSK;2412;;;24
Felipe;ec:22:80:c8:8c:06;WPA-PSK;2462;;;20
Advvimar;30:b5:c2:a0:e8:ae;WPA-PSK;2437;WPS;;22
BIG 10;fe:91:66:83:4f:71;WPA-PSK;2412;WPS;;33
Oi WiFi Fon;fc:52:8d:b6:bd:36;;2412;;;37
Mariana_Int;c8:3a:35:33:2a:d8;WPA-PSK;2432;WPS;;22
TatianeGB_INT;90:f6:52:c2:ea:9e;WPA-PSK;2422;WPS;;28
Marines_Int;f4:ec:38:e3:37:20;WPA-PSK;2422;WPS;;22
NP2-CL;02:0c:42:6e:12:75;WPA-PSK;2447;;;26
maciel_int;00:4f:62:12:43:7a;WEP;2462;;;33
Elvani;c4:6e:1f:60:da:bc;WPA-PSK;2417;WPS;;28
3Cristofari_Fundos;00:1a:3f:bc:5c:2c;WPA-PSK;2442;;;28
Indio;00:14:51:6d:01:9b;WPA-PSK;2462;;;28
Oi WiFi Fon;18:17:25:09:5d:4d;;2457;;;20
JAQUELINE;c8:3a:35:1e:18:f0;WPA-PSK;2452;;;20
Marita_Modas;64:66:b3:ec:fb:54;WPA-PSK;2422;WPS;;22
Galegos;64:66:b3:65:73:ae;WEP;2462;WPS;;20
PINGO 2016;14:d6:4d:f9:ea:47;WPA-PSK;2417;;;42
ArteMulticlinica;c4:e9:84:bd:8f:c2;WPA-PSK;2432;WPS;;22
Iara_Int;f8:1a:67:91:94:60;WPA-PSK;2432;WPS;;22
Draft Beer;82:2e:e8:d2:91:df;WPA-PSK;2412;WPS;;31
Escritoriorn;c0:a0:bb:17:e0:26;WPA-PSK;2462;;;26
ap_1101;00:1d:2b:ff:05:01;WPA-PSK;2412;WPS;;26
stnet_ctrlclin_and02;f4:ec:38:d2:3a:de;WPA-PSK;2417;WPS;;31
karine_int;c0:4a:00:87:97:a8;WPA-PSK;2412;WPS;;17
wir_elaine;b0:48:7a:ca:9f:a2;WPA-PSK;2412;WPS;;24
DM multimarcas;04:c0:6f:28:ea:44;WPA-PSK;2412;;;33
Joao;30:b5:c2:a0:e9:9c;WEP;2462;WPS;;22
dlink;1c:af:f7:5b:9a:4e;WPA-PSK;2437;;;35
Zete;54:e6:fc:a6:f8:b0;WEP;2462;WPS;;33
DrogaCentro_Int;c4:e9:84:9f:e5:d2;WPA-PSK;2432;WPS;;31
proinfo;00:25:86:cf:42:17;WEP;2452;;;31
Jet Link Telecom  -  Visitantes;02:0c:42:61:30:26;WPA-PSK;2462;;;24
Lfg_santiago_;00:1a:3f:9f:f9:f6;WPA-PSK;2437;;;26
Store;b2:25:ae:72:8e:cb;WPA-PSK;2412;WPS;;26
Oi WiFi Fon;b0:c2:87:a8:da:70;;2412;;;26
Leni;54:e6:fc:9b:6a:58;WPA-PSK;2412;;;26
Pneumologista_Int;00:1a:3f:81:a9:dc;WPA-PSK;2432;;;26
DIEGO_INT;54:e6:fc:ca:c8:72;WEP;2462;;;26
Danielathones;44:e9:dd:cc:11:72;WPA-PSK;2412;WPS;;15
Oi WiFi Fon;62:e9:dd:cc:11:73;;2412;;;22
Laboratorio;d8:fe:e3:47:86:67;WPA-PSK;2427;;;37
CASA;98:fc:11:c8:3c:36;WPA-PSK;2452;WPS;;22
APA - Acesso;90:f6:52:da:86:ce;WPA-PSK;2442;WPS;;20
Oi_Velox_WiFi_9B3A;00:18:e7:a0:9b:3a;WPA-PSK;2457;;;20
Filipe_int;90:f6:52:fe:50:50;WPA-PSK;2447;WPS;;26
ILTOM_PREDIO;00:0e:f4:d6:f9:c7;WPA-PSK;2437;;;28
Rede Brandli;b2:ec:86:b8:b7:19;WPA-PSK;2417;WPS;;40
Oi WiFi Fon;b0:c2:87:a8:da:c6;;2417;;;28
R&A;c8:91:f9:a2:34:46;WPA-PSK;2462;WPS;;26
Oi WiFi Fon;6a:91:f9:a2:34:47;;2462;;;24
HP-Print-60-Deskjet 2540 series;c4:34:6b:2e:7a:60;WPA-PSK;2437;;;33
Nicola_SemiNovos;ec:22:80:8c:11:12;WPA-PSK;2412;;;24
Julio Cesar;c4:e9:84:5c:2b:64;WPA-PSK;2452;WPS;;22
JorgeBueno;c0:4a:00:69:3c:96;WPA-PSK;2437;WPS;;24
esc_lara;10:fe:ed:0e:a9:a2;WEP;2412;WPS;;17
Gustavo;00:1d:2b:fe:13:91;WPA-PSK;2412;WPS;;22
Itaibate;54:04:a6:8c:d8:84;WPA-PSK;2427;;;31
LOJA DUO.;fe:f1:61:94:77:ef;WPA-PSK;2452;WPS;;26
Oi WiFi Fon;fc:52:8d:b6:ce:26;;2452;;;31
Oi WiFi Fon;e0:88:5d:fa:b9:52;;2412;;;17
Oi WiFi Fon;72:84:b0:a4:05:12;;2412;;;15
Vielmo;c0:4a:00:87:95:6e;WPA-PSK;2442;WPS;;22
MOBILLE-casa  e conforto;d0:84:b0:a4:05:11;WPA-PSK;2412;WPS;;33
Oi WiFi Fon;62:84:b0:1e:2c:01;;2462;;;20
MOBILLE;00:0a:eb:1d:17:b3;WPA-PSK;2462;;;33
mobille;64:70:02:6c:f5:08;WPA-PSK;2462;WPS;;33
Oi_Velox_WiFi_1404;9e:1b:eb:02:7e:92;WPA-PSK;2462;WPS;;17
Oi WiFi Fon;9c:97:26:72:14:05;;2462;;;26
Adventure_Sportts;e8:94:f6:d8:04:84;WPA-PSK;2437;WPS;;37
 Curso Marcon;e8:94:f6:bc:b2:12;WPA-PSK;2437;WPS;;33
ESPINDOLA;6c:19:8f:4d:e5:54;WPA-PSK;2412;;;44
GeoFlora;b4:b3:62:5e:f0:1b;WPA-PSK;2417;;;22
Paulo;64:66:b3:f9:eb:de;WPA-PSK;2462;WPS;;24
Oi WiFi Fon;52:91:f9:a2:2d:93;;2412;;;24
Bettin;fe:fb:7f:00:6e:af;WPA-PSK;2432;WPS;;24
Oi WiFi Fon;fc:52:8d:b6:8e:78;;2432;;;22
Oi WiFi Fon;72:91:f9:a2:04:44;;2462;;;20
Cinema;e2:64:80:07:9d:ff;WPA-PSK;2412;WPS;;48
Oi WiFi Fon;5a:64:d9:bc:92:df;;2462;;;51
Centrovet;c4:6e:1f:e4:dd:7e;WPA-PSK;2447;WPS;;17
Oi WiFi Fon;00:18:e7:a0:af:59;;2452;;;22
Gorski_e_Ross;e8:94:f6:9b:e4:f8;WPA-PSK;2462;WPS;;20
SEDUCAO;64:66:b3:62:aa:b4;WPA-PSK;2437;WPS;;28
terezinha_Int;c8:3a:35:29:f8:88;WPA-PSK;2462;;;31
Karen;e8:94:f6:ed:eb:ec;WEP;2417;;;31
Jose_Chechi;00:1a:3f:d3:bc:20;WPA-PSK;2417;WPS;;28
LEDY;c4:e9:84:cb:6f:5a;WPA-PSK;2412;WPS;;26
Radio_Itu;c4:e9:84:e2:7a:dc;WPA-PSK;2462;WPS;;22
Van da Policia Federal;64:70:02:67:90:cf;WPA-PSK;2462;WPS;;20
HP-Print-22-LaserJet 1102;7c:e9:d3:79:02:22;;2437;;;24
pozo;c8:91:f9:d0:9c:1d;WPA-PSK;2462;WPS;;26
Oi WiFi Fon;72:91:f9:d0:9c:1e;;2462;;;26
SCPB;d0:84:b0:97:70:a5;WPA-PSK;2412;;;28
Oi WiFi Fon;5a:84:b0:97:70:a6;;2412;;;28
Kumon;f4:ec:38:f1:24:36;WPA-PSK;2452;WPS;;35
Chiquete_Modas;c8:3a:35:49:69:40;WPA-PSK;2412;;;28
Carine_in;78:44:76:71:5b:d0;WPA-PSK;2462;;;22
Sandra;10:fe:ed:3d:4d:8a;WPA-PSK;2447;WPS;;22
Santiagocell;34:08:04:81:ff:b3;WPA-PSK;2447;WPS;;22
Flavia;10:fe:ed:8b:3c:d8;WPA-PSK;2412;WPS;;26
BUG;f8:1a:67:ea:ac:3c;WPA-PSK;2412;WPS;;26
Mariane2_Int;c4:e9:84:b8:80:e8;WPA-PSK;2422;WPS;;28
TECHNICOLOR;18:17:25:09:5f:4a;WPA-PSK;2462;;;24
AJOTA;10:fe:ed:6f:74:5a;WEP;2447;WPS;;37
Angela;f0:7d:68:e7:e0:8a;WEP;2462;;;31
Shimit_Int;00:23:cd:1d:5f:1a;WPA-PSK;2427;WPS;;26
EDUARDO;7c:4f:b5:e8:23:51;WPA-PSK;2437;;;22
Oi WiFi Fon;18:17:25:09:5f:4b;;2462;;;37
Nilson;74:ea:3a:a3:84:b6;WPA-PSK;2442;WPS;;26
Escritorio;00:21:27:fb:9b:4a;WEP;2437;;;24
Bolinha_BediNet;00:1a:3f:18:8f:21;WPA-PSK;2462;;;31
Fabio;90:f6:52:a7:21:98;WPA-PSK;2452;WPS;;24
G.A transportes;1c:af:05:b7:c2:25;WPA-PSK;2437;;;26
Lapac;00:26:5a:66:f2:80;WPA-PSK;2437;;;28
Chechi Franco Celestino;c4:e9:84:e2:a2:be;WPA-PSK;2452;WPS;;31
paulo;c8:91:f9:a2:2e:84;WPA-PSK;2462;WPS;;31
Silva;e8:de:27:7e:93:76;WPA-PSK;2412;WPS;;17
Andressa_Int;00:23:69:f7:d5:20;WPA-PSK;2422;WPS;;24
Elisa;48:ee:0c:c3:26:76;WPA-PSK;2417;;;42
Hotel_;b2:69:47:12:9a:69;WPA-PSK;2457;WPS;;33
JQuenedi;48:ee:0c:c2:a7:b6;WPA-PSK;2412;;;26
STGOWIFI(2);00:1a:3f:6e:a6:b4;WPA-PSK;2462;;;22
SinueloCred;00:1d:1a:0a:6e:34;WPA-PSK;2462;WPS;;37
Doleys Soares;c4:e9:84:41:e5:b4;WPA-PSK;2412;WPS;;28
Neri_Int;64:70:02:79:66:34;WPA-PSK;2437;WPS;;26
Sissa;00:0e:f4:e5:e3:a7;WPA-PSK;2437;;;28
victorch_wifi;00:27:19:d4:ac:34;WPA-PSK;2437;;;53
Mara;14:cc:20:f9:7b:d4;WPA-PSK;2427;WPS;;44
Dierle;e8:de:27:72:32:ec;WPA-PSK;2412;WPS;;22
Taruma 1;30:b5:c2:a0:d8:54;WPA-PSK;2412;WPS;;20
Taruma;64:70:02:62:bc:c4;WPA-PSK;2412;WPS;;37
Panda II;30:b5:c2:23:d3:62;WPA-PSK;2462;WPS;;33
HP-Print-D8-Deskjet 4640 series;a0:48:1c:65:b1:d8;WPA-PSK;2417;;;40
Tatiana_Int;90:f6:52:b5:a9:04;WPA-PSK;2427;WPS;;37
Amanda_Int2;c4:6e:1f:e5:42:18;WPA-PSK;2417;WPS;;17
Viero_Int;64:70:02:66:1d:dc;WPA-PSK;2427;WPS;;31
Anderson_oi;e2:f0:23:0b:88:73;WPA-PSK;2462;WPS;;35
Paulo;c4:6e:1f:69:a9:f2;WPA-PSK;2437;WPS;;33
Jornada;30:b5:c2:0c:78:d4;WPA-PSK;2447;WPS;;20
Greice_Int;e8:94:f6:c2:f8:f6;WPA-PSK;2442;WPS;;46
lucas;84:a8:e4:11:a4:56;WPA-PSK;2452;;;26
Paulo_frente;ec:f0:0e:00:80:a8;WPA-PSK;2417;;;37
Rede-Casa;00:1a:3f:bb:79:59;WPA-PSK;2447;;;26
Luis;c8:3a:35:39:7c:e0;WPA-PSK;2462;;;22
MINOZZO;c4:e9:84:66:bf:c4;WPA-PSK;2412;WPS;;42
Casa;a0:f3:c1:b1:12:e4;WPA-PSK;2437;;;22
TP-LINK_89A4;c4:e9:84:b8:89:a4;WPA-PSK;2457;WPS;;26
Oi WiFi Fon;80:29:94:2e:7b:d6;;2432;;;24
joao ;82:c8:c8:2c:a3:99;WPA-PSK;2432;WPS;;24
ODONTOVIDA;f4:ec:38:f2:60:9a;WPA-PSK;2462;;;20
cleber;e2:8e:9e:39:e3:d1;WPA-PSK;2462;WPS;;33
wifi_anacarla;64:66:b3:3f:35:10;WPA-PSK;2462;WPS;;26
Daniel's;00:1a:3f:d6:5d:50;WPA-PSK;2412;;;40
Oi WiFi Fon;e0:88:5d:02:05:f5;;2462;;;22
Carlos_net;90:f6:52:f0:b6:42;WPA-PSK;2427;WPS;;26
Vovo_Ro;f8:1a:67:f8:21:10;WPA-PSK;2412;WPS;;31
Oi WiFi Fon;88:f7:c7:b2:75:38;;2462;;;24
Fernanda_net;00:1a:3f:94:6a:0e;WPA-PSK;2412;;;33
VERA;1c:af:f7:61:0a:3c;WPA-PSK;2437;;;28
SOUTO;8a:87:0d:fc:ba:28;WPA-PSK;2462;WPS;;24
Porao Pizzeria;d0:84:b0:a4:72:82;WPA-PSK;2412;WPS;;31
LUCIMARA;00:e0:20:35:3c:a2;WPA-PSK;2457;WPS;;35
CNA2;00:26:5a:66:d3:f2;WPA-PSK;2437;;;28
Oi WiFi Fon;62:84:b0:a4:72:83;;2412;;;40
Oi WiFi Fon;b0:c2:87:a8:cb:84;;2412;;;33
Paulo;b2:58:f8:67:fd:83;WPA-PSK;2412;WPS;;40
adriana_int;74:ea:3a:b8:b7:c6;WPA-PSK;2412;WPS;;37
CNA;00:18:e7:a0:60:42;WPA-PSK;2422;;;26
Eugenia_Int;e8:de:27:81:3c:fe;WPA-PSK;2427;WPS;;33
RCINFO;00:1a:3f:8f:7f:48;WPA-PSK;2462;WPS;;26
Ello;d8:5d:4c:a6:5c:06;WPA-PSK;2412;WPS;;26
Oi WiFi Fon;00:18:e7:a0:60:43;;2422;;;24
chalita_int;74:ea:3a:b8:d0:f0;WPA-PSK;2437;WPS;;40
LEDY;14:cc:20:84:1c:b3;WPA-PSK;2412;WPS;;20
Luis;00:1d:2b:fe:dc:81;WPA-PSK;2412;WPS;;24
SAFESOFT167872;84:10:0d:93:44:1f;WPA-PSK;2412;;;51
LARI_BOSSO;c4:a8:1d:23:91:30;WPA-PSK;2462;WPS;;20
Multilaser_WS01;c8:3a:35:26:bb:f8;WPA-PSK;2437;;;26
SANDRINE MINUZZI;64:66:b3:bd:0d:dc;WPA-PSK;2437;WPS;;31
Angelo40;28:28:5d:9a:37:94;WPA-PSK;2462;WPS;;22
Oi WiFi Fon;fc:52:8d:b5:63:a4;;2457;;;24
Vera_Int;00:21:27:2d:7f:9c;WPA-PSK;2447;;;28
Bruna;00:1d:1a:0b:39:ea;WPA-PSK;2462;WPS;;20
Oi WiFi Fon;00:18:e7:9a:b5:29;;2437;;;31
Ap 51;fe:8c:6f:11:7e:0e;WPA-PSK;2457;WPS;;28
Cezao_games;00:18:e7:9a:b5:28;WPA-PSK;2437;;;68
RS000500847_Network;00:25:9c:6c:58:f6;WPA-PSK;2437;WPS;;22
Fox Video;e8:94:f6:d8:78:3a;WPA-PSK;2437;WPS;;24
Carmen_Int;c4:6e:1f:3c:a9:cc;WPA-PSK;2422;WPS;;24
Oi WiFi Fon;6a:64:d9:c0:25:29;;2462;;;17
Oi WiFi Fon;b0:c2:87:a8:d9:d0;;2462;;;28
Gabinete;90:f6:52:a7:25:62;WPA-PSK;2422;WPS;;20
LancheriaPraca;b2:77:b5:8b:4e:60;WPA-PSK;2462;WPS;;31
Paulo;ec:22:80:a2:2e:3e;WPA-PSK;2412;;;26
Oi WiFi Fon;b0:c2:87:a8:89:00;;2412;;;31
AUTCONQUISTE;78:44:76:22:62:a4;WPA-PSK;2462;;;24
Tacely;c4:e9:84:d4:e5:d0;WPA-PSK;2452;WPS;;40
CarlosJuares;e8:de:27:ab:4a:e2;WPA-PSK;2412;WPS;;17
demerson brum;b2:49:cb:dd:bd:3c;WPA-PSK;2412;WPS;;20
Guilherme;00:18:e7:9f:fd:ee;WPA-PSK;2412;;;26
Deise_Int;64:70:02:82:a7:aa;WPA-PSK;2432;WPS;;26
Jane - WiFi;f8:d1:11:96:31:2c;WPA-PSK;2447;WPS;;26
wir_reolon;74:ea:3a:fa:67:3c;WPA-PSK;2422;;;35
Oi WiFi Fon;b0:c2:87:a8:d9:08;;2412;;;33
dlink;00:26:5a:5a:85:f6;WEP;2437;;;26
Hotel_Acordes_2B;c4:6e:1f:bb:f8:3e;WPA-PSK;2437;WPS;;31
Bixarada_Int;f0:7d:68:dd:d7:72;WPA-PSK;2437;;;28
Oi WiFi Fon;00:18:e7:9d:8a:84;;2412;;;35
Claro-60E0;58:1f:28:e9:60:e4;WPA-PSK;2412;WPS;;26
Hotel_Acordes_5B;30:b5:c2:2b:7d:34;WPA-PSK;2422;WPS;;22
Internacional;c8:91:f9:d9:94:5d;WPA-PSK;2462;WPS;;22
Bruna_Int;c4:6e:1f:e5:41:da;WPA-PSK;2422;WPS;;33
Hotel_Acordes_1A;10:fe:ed:8b:05:20;WPA-PSK;2412;WPS;;22
Demerson;00:21:91:6e:fc:f8;WPA-PSK;2442;;;26
NP2G-L;00:0c:42:6e:14:13;WPA-PSK;2422;;;28
Oi WiFi Fon;62:91:f9:d9:94:5e;;2462;;;22
Oi WiFi Fon;cc:03:fa:2c:ea:8b;;2462;;;24
NP-L;00:80:48:6d:86:ec;WPA-PSK;2447;;;33
aline1213;ce:0e:18:b9:6c:7a;WPA-PSK;2462;WPS;;26
Criative;00:26:5a:67:24:8a;WPA-PSK;2437;;;20
Nadir;c0:4a:00:90:75:58;WPA-PSK;2412;WPS;;26
Lilian_Int2;f0:7d:68:e0:fb:f8;WPA-PSK;2417;;;20
Arthur_net;f8:1a:67:b2:2b:92;WPA-PSK;2422;WPS;;33
Jerusa_Int;64:70:02:82:ae:60;WPA-PSK;2432;WPS;;28
technicolor;18:17:25:07:09:d0;WPA-PSK;2412;;;48
Centro_de_Pinturas_Cima;64:66:b3:ec:fb:7c;WPA-PSK;2427;WPS;;22
Mariana_Int;00:1c:f0:39:e3:4d;WPA-PSK;2427;;;26
CentroPinturas_Int;c4:e9:84:47:87:54;WPA-PSK;2422;WPS;;24
Nayla;c0:4a:00:87:f4:66;WPA-PSK;2437;WPS;;31
Veronica;f4:ec:38:b8:07:c8;WPA-PSK;2462;WPS;;37
GUGA 1;18:17:25:08:54:58;WPA-PSK;2412;;;51
Angela_Int;b0:48:7a:f2:54:52;WPA-PSK;2422;;;35
Pure Wash;78:44:76:22:ab:fa;WPA-PSK;2462;;;26
wireom3-p2;00:0c:42:69:0d:a9;WEP;2437;;;22
Sharptech Info.;78:44:76:19:b1:90;WPA-PSK;2462;;;22
Francismara;8c:10:d4:c4:69:30;WPA-PSK;2462;WPS;;24
Oi WiFi Fon;62:10:d4:c4:69:31;;2462;;;22
Hotel_Acordes_2A;10:fe:ed:8b:40:6e;WPA-PSK;2412;WPS;;40
Oi_Velox_WiFi_1902;d0:84:b0:a5:19:03;WPA-PSK;2462;WPS;;17
RSADVOGADOS;00:18:e7:9d:8a:83;WPA-PSK;2412;;;22
Hotel_Acordes_5A;30:b5:c2:0c:f0:0e;WPA-PSK;2462;WPS;;24
wireom3-p3;00:0c:42:69:fc:ed;WEP;2472;;;26
Augusto;00:25:86:d9:b3:77;WEP;2437;;;22
Paulo_Ricardo;64:70:02:68:94:48;WPA-PSK;2427;WPS;;28
Daniela_Int;64:66:b3:c1:c2:aa;WPA-PSK;2427;WPS;;31
TPLINK;e8:94:f6:32:cf:d4;WPA-PSK;2412;WPS;;33
Maria_Int;90:f6:52:5f:9b:4a;WPA-PSK;2412;WPS;;40
DAVID;30:b5:c2:74:8c:27;WPA-PSK;2462;WPS;;33
Helvio_2GEXT;84:1b:5e:42:2a:cf;WPA-PSK;2437;WPS;;22
DAVID;c8:91:f9:a2:2c:1c;WPA-PSK;2462;;;40
wireom11;00:0c:42:68:2f:e3;WEP;2417;;;24
Helvio;20:aa:4b:25:3c:3c;WPA-PSK;2437;WPS;;26
Joao2_Int;ec:22:80:c7:ec:fe;WPA-PSK;2452;;;26
ELENITA;e8:de:27:49:eb:fe;WPA-PSK;2437;WPS;;24
Oneida_Int;64:66:b3:c1:c5:ee;WPA-PSK;2427;WPS;;15
teo;00:1e:58:0d:25:be;WPA-PSK;2437;;;28
Nathalia;00:1a:3f:8e:16:18;WPA-PSK;2462;;;26
Daniela;30:b5:c2:21:da:b0;WPA-PSK;2462;WPS;;31
AP_303;f8:1a:67:c2:db:b0;WPA-PSK;2412;WPS;;20
CLINICA;18:17:25:0a:a1:e8;WPA-PSK;2452;;;26
Vanessa;90:f6:52:b5:9f:66;WPA-PSK;2432;WPS;;20
AnoLuz_Loja;c4:e9:84:ba:3e:e0;WPA-PSK;2452;WPS;;35
Eduarda;44:e9:dd:a8:fc:8a;WPA-PSK;2412;WPS;;20
Vanessa_;10:fe:ed:0f:5b:62;WPA-PSK;2437;WPS;;26
maria;c8:91:f9:a1:fb:6d;WPA-PSK;2412;WPS;;31
Totonho;02:bd:b9:e2:a7:3d;WPA-PSK;2462;;;22
gilrocha;f8:d1:11:4e:45:fa;WPA-PSK;2462;;;35
Vida_Ativa;00:1a:3f:18:7c:2b;WPA-PSK;2412;;;17
Oi WiFi Fon;6a:91:f9:a1:fb:6e;;2412;;;20
LDSAccess;d0:c7:89:8e:72:10;WPA-PSK;2437;;;40
Oi WiFi Fon;b0:c2:87:a8:c9:f2;;2432;;;31
SandraGarcia;b2:26:3b:ce:3a:27;WPA-PSK;2432;WPS;;46
CristianeInt_02;30:b5:c2:da:d6:4e;WPA-PSK;2437;WPS;;22
Oi WiFi Fon;5a:84:b0:94:f2:c7;;2412;;;26
Paulo_Genro;90:f6:52:70:1f:34;WPA-PSK;2462;WPS;;24
Lupita;d0:84:b0:94:f2:c6;WPA-PSK;2412;WPS;;22
BWW;64:66:b3:dc:c6:c8;WPA-PSK;2412;WPS;;24
Broadcom;14:d6:4d:91:86:e8;WPA-PSK;2437;;;31
Alarico;00:1a:3f:26:bd:77;WPA-PSK;2417;;;28
Davi;30:b5:c2:a0:a6:18;WPA-PSK;2437;WPS;;26
RODRIGO;ac:f1:df:e8:dd:bc;WPA-PSK;2412;WPS;;24
Aline;00:1a:3f:94:6a:5c;WPA-PSK;2412;;;22
Mirian_Int;c8:3a:35:36:3a:70;WPA-PSK;2422;;;35
Silvana;e8:de:27:65:4e:d0;WPA-PSK;2412;WPS;;51
